,0,1,2,3,4
0,A man wearing orange swinging a bat in the snow.,Man in winter clothing delivering hit with bat to ball.,A person wearing an orange hooded jacket holding a baseball bat.,A man with a baseball bat in the snow.,two men playing baseball in the freezing snow
1,There is a man picking bananas next to a street.,A man standing over several bunches of green bananas.,A man attending to several bundles of banana's as a motorcycle rides by.,A guy grabbing a stack of bananas from a pile on the side of the road.,A man standing over some bundles of bananas
2,A street going trough the center of a small town.,A street scene with cars on the road and people on the sidewalk.,A large shadow is cast upon a busy street,some buildings some trees people and cars and signs,"A quiet city street shows buildings, cars, and people."
3,Two men playing a game of tennis on a court.,two people playing tennis with rackets on a grass court,Two young men playing a game of tennis.,People playing tennis on a court surrounded by green hedges.,tHERE ARE TWO MEN PLAYING TENNIS ON THE TENNIS COURT
4,A green street sign next to peoples houses.,A street sign for an intersection in the countryside,A suburban area with many trees behind a dirt road.,View of a neighborhood located at Mayfield Street.,the clouds rolling in over a few houses
5,A giraffe stands between trees while other giraffes walk behind him.,Several giraffe walking the plains on the sunny day.,Several giraffe on the savannah on a sunny day.,A giraffe looks out from between two trees.,A giraffe standing in a field next to a forest.
6,A wooden table topped with a  banana and a muffin.,A Starbucks cup next to a muffin and a banana on a table.,A coffee cup next to a muffin and a banana.,"A banana, a muffin and a stabucks coffee","A Starbucks cup of coffer, a muffin, and a banana sit on top of a table."
7,A woman is skateboarding down a hill with a hat on.,A woman riding a skateboard down a street.,A woman wearing jeans and a hat rides a skateboard.,A young lady on a skate board in the street.,A young lady is enjoying her time with her skateboard. 
8,Two cats eating food from bowls on a black and white checkered tile floor.,Two cats eating out of separate bowls on the floor,Two cats facing each other eating dinner from bowls inside.,Two cats eating from a plate and a bowl on the floor.,The two cats are eating from their respective bowls.
9,a cake with pineapples and cherries on the top of it. ,A prepared dessert with fruit on the top.,A pineapple upside down cake on a plate.,A pineapple upside-down cake with cherries on top.,"A cake with a fruit topping on a round, cardboard platter."
